student_interest,student_country,student_language,student_target_degree,student_current_degree,student_gpa,student_lang_level,student_ielts,student_budget,student_study_mode,student_needs_scholarship,program_category,program_country,program_degree,program_tuition,program_language,program_study_mode,program_min_gpa,program_min_lang,program_min_ielts,program_scholarship,gpa_diff,budget_diff,lang_diff,ielts_diff,country_match,field_match,field_proximity,degree_compatible,study_mode_match,scholarship_match,match_score
ARTIFICIAL_INTELLIGENCE,Netherlands,English,MASTER,HIGH_SCHOOL,0.0,3,4.6,6000,ON_CAMPUS,1,EDUCATION,Spain,MASTER,4700,English,ON_CAMPUS,11.0,4,5.0,0,0.0,1300,-1,-0.4,0,0,0.0,0,1,0,0.010136146744530748
ARCHITECTURE,Latvia,French,MASTER,BACHELOR,12.4,3,5.4,7000,ON_CAMPUS,1,DATA_SCIENCE,Germany,BACHELOR,7400,English,ON_CAMPUS,0.0,3,5.0,0,0.0,-400,0,0.4,0,0,0.0,0,1,0,0.12792750208117287
ARTIFICIAL_INTELLIGENCE,Italy,French,BACHELOR,HIGH_SCHOOL,0.0,2,3.6,7000,ON_CAMPUS,0,COMPUTER_SCIENCE,Latvia,MASTER,9900,German,ON_CAMPUS,12.0,5,7.0,0,0.0,-2900,-3,-3.4,0,0,0.8,0,1,0,0.08683399963555057
BUSINESS,Poland,ANY,BACHELOR,BACHELOR,15.7,5,7.1,8000,DISTANCE,0,COMMUNICATION,Germany,MASTER,2500,English,ON_CAMPUS,11.0,4,6.5,1,4.7,5500,1,0.6,0,0,0.3,1,0,0,0.5114
LAW,France,French,DIPLOMA,MASTER,15.1,5,6.7,5000,DISTANCE,0,BUSINESS,Spain,MASTER,8400,English,DISTANCE,13.0,4,6.0,1,2.1,-3400,1,0.7,0,0,0.2,0,1,0,0.06572801290317906
DESIGN,ANY,English,MASTER,HIGH_SCHOOL,0.0,3,4.4,6000,ON_CAMPUS,0,DESIGN,Turkey,PHD,6500,English,ON_CAMPUS,14.0,5,5.5,0,0.0,-500,-2,-1.1,1,1,1.0,0,1,0,0.045432084997475156
DATA_SCIENCE,ANY,English,BACHELOR,HIGH_SCHOOL,0.0,3,4.8,4000,ON_CAMPUS,0,MEDICINE,Spain,CERTIFICATE,1100,French,BLENDED,0.0,3,7.0,0,0.0,2900,0,-2.2,1,0,0.0,1,0,0,0.5395
MARKETING,Italy,French,BACHELOR,BACHELOR,18.5,4,5.8,4000,BLENDED,0,MEDICINE,Spain,DIPLOMA,5700,English,ON_CAMPUS,0.0,4,6.0,1,0.0,-1700,0,-0.2,0,0,0.0,1,0,0,0.3246
DESIGN,Latvia,German,MASTER,BACHELOR,10.0,5,7.3,5000,ON_CAMPUS,1,DESIGN,Netherlands,DIPLOMA,10700,English,DISTANCE,0.0,4,7.0,0,0.0,-5700,1,0.3,0,1,1.0,1,0,0,0.5906
BUSINESS,France,ANY,DIPLOMA,MASTER,9.7,5,6.8,5000,BLENDED,0,HOSPITALITY,Latvia,DIPLOMA,12800,French,ON_CAMPUS,0.0,4,5.0,0,0.0,-7800,1,1.8,0,0,0.4,1,0,0,0.4284
LAW,Turkey,French,BACHELOR,BACHELOR,13.7,3,4.7,4000,ON_CAMPUS,0,COMMUNICATION,Turkey,DIPLOMA,16900,English,ON_CAMPUS,0.0,4,6.0,0,0.0,-12900,-1,-1.3,1,0,0.0,1,1,0,0.6139
DESIGN,France,French,PHD,BACHELOR,11.2,4,5.8,6000,ON_CAMPUS,0,COMMUNICATION,Netherlands,MASTER_OF_ARTS,3500,English,ON_CAMPUS,12.0,5,5.0,0,-0.8,2500,-1,0.8,0,0,0.3,1,1,0,0.4801
COMMUNICATION,Spain,English,MASTER,BACHELOR,16.8,3,5.4,8000,DISTANCE,0,BUSINESS,Netherlands,MASTER,4600,German,ON_CAMPUS,13.0,4,6.0,0,3.8,3400,-1,-0.6,0,0,0.0,1,0,0,0.461
ARCHITECTURE,ANY,German,BACHELOR,BACHELOR,8.6,3,5.0,6000,DISTANCE,0,HOSPITALITY,Spain,BACHELOR,7100,English,BLENDED,0.0,4,5.0,1,0.0,-1100,-1,0.0,1,0,0.0,0,0,0,0.10426584133678835
COMMUNICATION,Latvia,English,BACHELOR,MASTER,14.4,4,6.0,3000,ON_CAMPUS,1,COMMUNICATION,Turkey,CERTIFICATE,4600,German,ON_CAMPUS,0.0,3,7.0,1,0.0,-1600,1,-1.0,0,1,1.0,1,1,1,0.5689
ARTIFICIAL_INTELLIGENCE,Italy,ANY,MASTER,BACHELOR,12.6,5,6.7,6000,ON_CAMPUS,0,HOSPITALITY,Spain,MASTER_OF_ARTS,5600,English,BLENDED,11.0,4,5.5,0,1.6,400,1,1.2,0,0,0.0,1,0,0,0.4213
MEDICINE,France,English,PHD,BACHELOR,13.9,3,4.7,7000,ON_CAMPUS,0,ARTS,Turkey,DIPLOMA,12900,English,BLENDED,0.0,3,6.0,0,0.0,-5900,0,-1.3,0,0,0.0,1,0,0,0.4627
BUSINESS,ANY,English,CERTIFICATE,HIGH_SCHOOL,0.0,3,5.1,6000,ON_CAMPUS,0,MEDICINE,Poland,MASTER_OF_SCIENCE,9500,English,ON_CAMPUS,12.0,4,5.5,0,0.0,-3500,-1,-0.4,1,0,0.0,0,1,0,0.03357777431699381
BUSINESS,Germany,English,MBA,BACHELOR,13.0,4,6.4,5000,BLENDED,1,BUSINESS,Poland,CERTIFICATE,1900,French,ON_CAMPUS,0.0,3,6.0,0,0.0,3100,1,0.4,0,1,1.0,1,0,0,0.6321
DATA_SCIENCE,Turkey,French,MASTER_OF_SCIENCE,MASTER,8.9,4,6.5,6000,BLENDED,1,COMPUTER_SCIENCE,Italy,MASTER_OF_SCIENCE,8000,German,ON_CAMPUS,13.0,4,6.0,0,-4.1,-2000,0,0.5,0,0,0.7,0,0,0,0.010178818298552973
COMPUTER_SCIENCE,Poland,French,MBA,BACHELOR,13.5,2,3.9,6000,ON_CAMPUS,0,FINANCE,Turkey,MASTER_OF_ARTS,5000,English,BLENDED,11.0,3,6.0,1,2.5,1000,-1,-2.1,0,0,0.0,1,0,0,0.4891
COMMUNICATION,Turkey,French,DIPLOMA,HIGH_SCHOOL,0.0,3,5.2,5000,ON_CAMPUS,1,PSYCHOLOGY,France,BACHELOR,4700,English,DISTANCE,0.0,4,5.5,0,0.0,300,-1,-0.3,0,0,0.3,1,0,0,0.4564
HOSPITALITY,Latvia,English,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,4,6.2,8000,ON_CAMPUS,1,COMPUTER_SCIENCE,Poland,MASTER,3200,English,DISTANCE,11.0,5,6.0,0,0.0,4800,-1,0.2,0,0,0.0,0,0,0,0.03350077099600428
MEDICINE,ANY,English,MASTER,HIGH_SCHOOL,0.0,4,6.2,6000,DISTANCE,0,PSYCHOLOGY,Latvia,BACHELOR,6900,German,ON_CAMPUS,0.0,3,6.5,0,0.0,-900,1,-0.3,1,0,0.4,1,0,0,0.5922
MEDICINE,Latvia,French,PHD,BACHELOR,12.9,4,6.2,4000,ON_CAMPUS,1,FINANCE,Poland,CERTIFICATE,4400,English,BLENDED,0.0,3,6.5,0,0.0,-400,1,-0.3,0,0,0.0,1,0,0,0.3341
HOSPITALITY,Spain,English,MASTER_OF_ARTS,HIGH_SCHOOL,0.0,3,5.0,6000,BLENDED,1,PSYCHOLOGY,Italy,BACHELOR,7800,French,BLENDED,0.0,4,5.5,1,0.0,-1800,-1,-0.5,0,0,0.0,1,1,1,0.2872
LAW,ANY,English,BACHELOR,HIGH_SCHOOL,0.0,4,6.2,10000,DISTANCE,1,DATA_SCIENCE,Netherlands,BACHELOR,5700,English,ON_CAMPUS,0.0,4,6.0,0,0.0,4300,0,0.2,1,0,0.0,1,0,0,0.6349
DESIGN,France,German,PHD,PHD,10.4,6,8.1,6000,BLENDED,1,ARCHITECTURE,Turkey,BACHELOR,3700,French,ON_CAMPUS,0.0,4,6.5,0,0.0,2300,2,1.6,0,0,0.5,0,0,0,0.0142725048207882
HOSPITALITY,Germany,English,MASTER,HIGH_SCHOOL,0.0,3,5.2,4000,BLENDED,0,HOSPITALITY,Spain,MASTER,3200,English,BLENDED,11.0,5,5.0,0,0.0,800,-2,0.2,0,1,1.0,0,1,0,0.11221336048409851
ARCHITECTURE,Turkey,German,BACHELOR,HIGH_SCHOOL,0.0,4,5.8,7000,ON_CAMPUS,1,ARTS,Netherlands,MASTER_OF_ARTS,3600,French,ON_CAMPUS,11.0,4,6.0,1,0.0,3400,0,-0.2,0,0,0.3,0,1,1,0.05533334415754957
PSYCHOLOGY,Spain,English,MASTER,HIGH_SCHOOL,0.0,3,4.9,8000,DISTANCE,0,COMPUTER_SCIENCE,Latvia,BACHELOR,6900,French,ON_CAMPUS,0.0,4,5.0,1,0.0,1100,-1,-0.1,0,0,0.0,1,0,0,0.3616
ARTIFICIAL_INTELLIGENCE,Italy,English,CERTIFICATE,MASTER,13.2,4,5.6,6000,ON_CAMPUS,0,OTHER,Spain,BACHELOR,4300,English,ON_CAMPUS,0.0,4,6.0,0,0.0,1700,0,-0.4,0,0,0.0,0,1,0,0.028370896745903117
OTHER,Spain,German,PHD,BACHELOR,11.7,4,6.2,6000,DISTANCE,0,COMMUNICATION,Poland,MASTER,4200,English,ON_CAMPUS,11.0,5,5.0,0,0.7,1800,-1,1.2,0,0,0.0,1,0,0,0.3812
EDUCATION,Spain,ANY,MASTER_OF_SCIENCE,BACHELOR,15.0,3,5.2,7000,ON_CAMPUS,0,EDUCATION,France,PHD,4800,French,ON_CAMPUS,14.0,5,5.5,0,1.0,2200,-2,-0.3,0,1,1.0,0,1,0,0.031782348476186384
DESIGN,Latvia,English,MASTER,HIGH_SCHOOL,0.0,2,3.4,6000,ON_CAMPUS,1,PSYCHOLOGY,France,DIPLOMA,11700,English,ON_CAMPUS,0.0,3,6.5,1,0.0,-5700,-1,-3.1,0,0,0.0,1,1,1,0.453
ARCHITECTURE,Turkey,English,CERTIFICATE,HIGH_SCHOOL,0.0,4,5.8,8000,ON_CAMPUS,1,ARTIFICIAL_INTELLIGENCE,Poland,CERTIFICATE,2000,French,ON_CAMPUS,0.0,3,6.5,0,0.0,6000,1,-0.7,0,0,0.0,1,1,0,0.5624
OTHER,Italy,English,MASTER,MASTER,13.9,5,6.8,6000,ON_CAMPUS,1,ARTS,Germany,MBA,13100,English,ON_CAMPUS,11.0,3,5.5,1,2.9,-7100,2,1.3,0,0,0.0,1,1,1,0.478
OTHER,Spain,English,PHD,MASTER,11.5,4,6.3,5000,ON_CAMPUS,0,DATA_SCIENCE,Turkey,MASTER_OF_ARTS,7600,English,BLENDED,12.0,3,6.0,0,-0.5,-2600,1,0.3,0,0,0.0,0,0,0,0.040196079713021284
PSYCHOLOGY,ANY,English,MASTER,BACHELOR,13.5,6,8.1,10000,ON_CAMPUS,1,LAW,Turkey,MASTER,3900,French,ON_CAMPUS,12.0,5,6.0,0,1.5,6100,1,2.1,1,0,0.0,1,1,0,0.5919
DATA_SCIENCE,Latvia,English,BACHELOR,BACHELOR,10.5,3,5.4,6000,ON_CAMPUS,1,COMPUTER_SCIENCE,Turkey,MBA,11800,French,ON_CAMPUS,12.0,4,5.5,0,-1.5,-5800,-1,-0.1,0,0,0.7,1,1,0,0.4386
OTHER,Latvia,ANY,MASTER_OF_SCIENCE,MASTER,10.7,4,6.2,15000,BLENDED,1,PSYCHOLOGY,Germany,BACHELOR,2600,English,BLENDED,0.0,4,5.5,0,0.0,12400,0,0.7,0,0,0.0,0,1,0,0.01884331081892347
HOSPITALITY,Italy,English,BACHELOR,HIGH_SCHOOL,0.0,2,4.4,6000,ON_CAMPUS,0,LAW,Italy,BACHELOR,2600,English,BLENDED,0.0,3,6.0,1,0.0,3400,-1,-1.6,1,0,0.0,1,0,0,0.721
ENGINEERING,Poland,English,BACHELOR,PHD,11.0,5,7.2,6000,ON_CAMPUS,0,MEDICINE,Germany,BACHELOR,5700,English,ON_CAMPUS,0.0,3,6.0,0,0.0,300,2,1.2,0,0,0.0,0,1,0,0.06380126971581399
PSYCHOLOGY,ANY,English,BACHELOR,HIGH_SCHOOL,0.0,1,3.0,5000,ON_CAMPUS,1,PSYCHOLOGY,Turkey,MASTER,7500,French,ON_CAMPUS,12.0,4,6.5,0,0.0,-2500,-3,-3.5,1,1,1.0,0,1,0,0.09699527380117724
EDUCATION,Italy,English,BACHELOR,MASTER,16.5,4,5.9,10000,ON_CAMPUS,1,ARTS,Netherlands,DIPLOMA,14500,English,ON_CAMPUS,0.0,3,7.0,0,0.0,-4500,1,-1.1,0,0,0.0,1,1,0,0.5601
HOSPITALITY,ANY,English,MASTER,MASTER,12.8,4,6.0,6000,ON_CAMPUS,0,BUSINESS,Turkey,MASTER,3300,English,ON_CAMPUS,12.0,4,6.5,0,0.8,2700,0,-0.5,1,0,0.4,0,1,0,0.07931882729274436
COMMUNICATION,Italy,French,BACHELOR,BACHELOR,11.7,4,5.8,5000,BLENDED,0,MARKETING,Netherlands,MBA,9700,French,DISTANCE,12.0,4,6.5,1,-0.3,-4700,0,-0.7,0,0,0.7,1,0,0,0.5361
MARKETING,ANY,English,BACHELOR,BACHELOR,11.3,3,4.8,5000,ON_CAMPUS,1,FINANCE,Germany,MASTER,9800,English,ON_CAMPUS,11.0,4,5.0,0,0.3,-4800,-1,-0.2,1,0,0.0,1,1,0,0.5981
FINANCE,Germany,English,PHD,BACHELOR,11.5,4,6.1,5000,ON_CAMPUS,0,EDUCATION,Turkey,BACHELOR,2600,English,DISTANCE,0.0,4,7.0,1,0.0,2400,0,-0.9,0,0,0.0,0,0,0,0.03808654005296442
PSYCHOLOGY,Turkey,French,MASTER_OF_ARTS,BACHELOR,12.9,4,5.7,7000,DISTANCE,1,COMMUNICATION,Latvia,PHD,7100,German,BLENDED,14.0,4,5.5,0,-1.1,-100,0,0.2,0,0,0.3,0,0,0,0.02991689259099529
LAW,Poland,English,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,4,6.3,6000,DISTANCE,1,ARTS,Germany,BACHELOR,2700,French,ON_CAMPUS,0.0,3,6.0,0,0.0,3300,1,0.3,0,0,0.0,1,0,0,0.4691
PSYCHOLOGY,Germany,English,PHD,PHD,15.3,3,5.2,6000,DISTANCE,0,BUSINESS,Netherlands,DIPLOMA,9300,English,DISTANCE,0.0,3,6.0,0,0.0,-3300,0,-0.8,0,0,0.0,1,1,0,0.4707
EDUCATION,ANY,German,MBA,BACHELOR,14.4,5,6.9,12000,ON_CAMPUS,1,DATA_SCIENCE,Turkey,CERTIFICATE,2800,English,ON_CAMPUS,0.0,4,5.5,0,0.0,9200,1,1.4,1,0,0.0,1,1,0,0.5377
LAW,Poland,English,MASTER,BACHELOR,12.9,5,6.9,7000,ON_CAMPUS,0,ENGINEERING,Spain,BACHELOR,4000,French,BLENDED,0.0,3,5.0,0,0.0,3000,2,1.9,0,0,0.0,0,0,0,0.0
HOSPITALITY,ANY,English,MASTER_OF_ARTS,MASTER,15.5,5,6.8,4000,BLENDED,0,EDUCATION,Germany,BACHELOR,6100,English,DISTANCE,0.0,4,6.5,0,0.0,-2100,1,0.3,1,0,0.0,0,0,0,0.044380874606153295
MEDICINE,ANY,French,BACHELOR,HIGH_SCHOOL,0.0,3,4.5,5000,ON_CAMPUS,1,OTHER,Latvia,MASTER,4100,English,DISTANCE,12.0,5,6.5,0,0.0,900,-2,-2.0,1,0,0.0,0,0,0,0.02610876574731473
DESIGN,Italy,English,MASTER,BACHELOR,15.0,4,5.9,6000,ON_CAMPUS,0,FINANCE,Germany,PHD,5900,English,ON_CAMPUS,15.0,6,6.5,0,0.0,100,-2,-0.6,0,0,0.0,0,1,0,0.042509174825996185
ENGINEERING,Latvia,German,MASTER,PHD,12.1,6,8.0,8000,ON_CAMPUS,0,COMMUNICATION,Italy,MASTER,6500,French,ON_CAMPUS,10.0,5,7.0,0,2.1,1500,1,1.0,0,0,0.0,0,1,0,0.009919913226952168
OTHER,Italy,English,MASTER,MASTER,9.8,4,5.5,6000,ON_CAMPUS,0,PSYCHOLOGY,Spain,BACHELOR,4700,English,ON_CAMPUS,0.0,3,6.0,0,0.0,1300,1,-0.5,0,0,0.0,0,1,0,0.035926110220277356
ARCHITECTURE,Italy,English,BACHELOR,MASTER,12.0,4,5.9,6000,BLENDED,1,ENGINEERING,Germany,BACHELOR,5300,English,ON_CAMPUS,0.0,3,5.0,0,0.0,700,1,0.9,0,0,0.4,0,0,0,0.04735245611806139
ARTIFICIAL_INTELLIGENCE,Netherlands,French,MASTER,BACHELOR,11.8,4,6.1,5000,BLENDED,0,ARCHITECTURE,Italy,BACHELOR,2500,English,DISTANCE,0.0,4,6.0,0,0.0,2500,0,0.1,0,0,0.0,0,0,0,0.07222269135509322
FINANCE,ANY,French,BACHELOR,MASTER,13.3,4,5.8,6000,BLENDED,0,LAW,Latvia,PHD,8000,English,ON_CAMPUS,15.0,5,7.0,0,-1.7,-2000,-1,-1.2,1,0,0.0,1,0,0,0.3164
OTHER,Netherlands,English,MASTER,BACHELOR,15.7,5,7.3,8000,ON_CAMPUS,1,LAW,Italy,PHD,5300,English,ON_CAMPUS,13.0,5,5.0,0,2.7,2700,0,2.3,0,0,0.0,0,1,0,0.005712123679946626
COMPUTER_SCIENCE,Latvia,ANY,PHD,BACHELOR,17.5,2,4.3,4000,BLENDED,1,MEDICINE,Poland,PHD,4200,French,ON_CAMPUS,15.0,5,6.5,1,2.5,-200,-3,-2.2,0,0,0.0,0,0,1,0.15
MARKETING,Latvia,French,CERTIFICATE,MASTER,10.9,5,6.8,3000,BLENDED,0,HOSPITALITY,France,BACHELOR,6300,English,ON_CAMPUS,0.0,4,6.5,0,0.0,-3300,1,0.3,0,0,0.0,0,0,0,0.03281078020195326
ARCHITECTURE,Latvia,German,BACHELOR,HIGH_SCHOOL,0.0,3,5.3,6000,BLENDED,0,HOSPITALITY,Poland,BACHELOR,6400,English,ON_CAMPUS,0.0,3,5.0,0,0.0,-400,0,0.3,0,0,0.0,1,0,0,0.3009
ARTS,ANY,English,MBA,BACHELOR,15.1,6,8.3,5000,BLENDED,1,FINANCE,Spain,BACHELOR,4100,English,ON_CAMPUS,0.0,4,5.5,0,0.0,900,2,2.8,1,0,0.0,0,0,0,0.06441825780042042
MEDICINE,Spain,ANY,MASTER_OF_ARTS,HIGH_SCHOOL,0.0,5,6.8,5000,ON_CAMPUS,0,COMMUNICATION,Turkey,BACHELOR,6100,French,BLENDED,0.0,4,5.5,0,0.0,-1100,1,1.3,0,0,0.0,1,0,0,0.4609
ARCHITECTURE,Poland,ANY,MASTER,BACHELOR,12.5,4,5.9,15000,ON_CAMPUS,0,MARKETING,Latvia,MASTER,2900,English,ON_CAMPUS,10.0,4,6.5,0,2.5,12100,0,-0.6,0,0,0.0,1,1,0,0.5577
PSYCHOLOGY,ANY,French,BACHELOR,MASTER,15.0,4,6.6,6000,DISTANCE,1,COMMUNICATION,Italy,BACHELOR,4500,English,ON_CAMPUS,0.0,3,5.0,0,0.0,1500,1,1.6,1,0,0.3,0,0,0,0.03598602051182513
ARTIFICIAL_INTELLIGENCE,Latvia,English,BACHELOR,MASTER,15.8,5,7.3,5000,BLENDED,1,PSYCHOLOGY,Latvia,MASTER_OF_ARTS,7600,English,ON_CAMPUS,11.0,3,5.0,0,4.8,-2600,2,2.3,1,0,0.0,0,0,0,0.08233438452038096
MEDICINE,Latvia,English,BACHELOR,BACHELOR,13.2,3,4.9,4000,ON_CAMPUS,0,HOSPITALITY,Latvia,DIPLOMA,12400,English,ON_CAMPUS,0.0,4,6.5,1,0.0,-8400,-1,-1.6,1,0,0.0,1,1,0,0.5837
ARTIFICIAL_INTELLIGENCE,Spain,German,BACHELOR,BACHELOR,10.1,3,5.1,15000,ON_CAMPUS,1,PSYCHOLOGY,Netherlands,PHD,5100,German,ON_CAMPUS,13.0,5,5.5,0,-2.9,9900,-2,-0.4,0,0,0.0,0,1,0,0.024387610163577742
ENGINEERING,France,French,MASTER,MASTER,11.2,6,7.5,5000,ON_CAMPUS,0,FINANCE,Netherlands,DIPLOMA,16000,English,BLENDED,0.0,4,7.0,0,0.0,-11000,2,0.5,0,0,0.0,1,0,0,0.3819
FINANCE,Poland,English,BACHELOR,MASTER,9.6,4,6.0,6000,ON_CAMPUS,0,EDUCATION,Latvia,MASTER,4900,English,ON_CAMPUS,12.0,4,6.0,1,-2.4,1100,0,0.0,0,0,0.0,0,1,0,0.021975373788513747
HOSPITALITY,Spain,English,CERTIFICATE,MASTER,16.7,5,6.5,4000,BLENDED,1,OTHER,Latvia,MASTER_OF_ARTS,3800,French,ON_CAMPUS,10.0,3,6.0,0,6.7,200,2,0.5,0,0,0.0,0,0,0,0.06604912017091309
MEDICINE,Latvia,English,DIPLOMA,HIGH_SCHOOL,0.0,2,4.6,10000,ON_CAMPUS,0,ARCHITECTURE,Germany,MASTER,4700,English,ON_CAMPUS,12.0,4,5.0,0,0.0,5300,-2,-0.4,0,0,0.0,0,1,0,0.034000970010024084
COMMUNICATION,Turkey,English,MASTER_OF_ARTS,BACHELOR,16.3,4,5.7,8000,BLENDED,0,ENGINEERING,Poland,CERTIFICATE,2700,English,ON_CAMPUS,0.0,3,5.5,0,0.0,5300,1,0.2,0,0,0.0,1,0,0,0.5312
MEDICINE,ANY,German,MASTER,MASTER,14.6,4,6.0,6000,ON_CAMPUS,0,ARTS,Netherlands,DIPLOMA,14500,French,ON_CAMPUS,0.0,4,7.0,0,0.0,-8500,0,-1.0,1,0,0.0,1,1,0,0.4508
ENGINEERING,ANY,German,PHD,MASTER,13.3,3,4.5,7000,BLENDED,1,COMMUNICATION,Turkey,MASTER,8100,English,DISTANCE,11.0,4,6.5,1,2.3,-1100,-1,-2.0,1,0,0.0,0,0,1,0.038506473885980205
ARTIFICIAL_INTELLIGENCE,Latvia,German,MASTER,HIGH_SCHOOL,0.0,4,6.0,8000,ON_CAMPUS,1,COMMUNICATION,Latvia,BACHELOR,7600,English,ON_CAMPUS,0.0,3,5.5,0,0.0,400,1,0.5,1,0,0.0,1,1,0,0.6191
ARTS,Turkey,French,MASTER,HIGH_SCHOOL,0.0,4,6.2,6000,ON_CAMPUS,0,EDUCATION,France,DIPLOMA,16600,English,BLENDED,0.0,4,7.0,1,0.0,-10600,0,-0.8,0,0,0.0,1,0,0,0.436
ARTS,ANY,English,BACHELOR,BACHELOR,13.9,3,5.4,6000,DISTANCE,0,ENGINEERING,France,PHD,5400,French,ON_CAMPUS,14.0,5,6.0,0,-0.1,600,-2,-0.6,1,0,0.0,0,0,0,0.06173253193734715
ENGINEERING,Germany,ANY,MASTER_OF_SCIENCE,BACHELOR,15.7,3,4.6,5000,BLENDED,1,EDUCATION,Poland,CERTIFICATE,4400,English,ON_CAMPUS,0.0,4,5.5,0,0.0,600,-1,-0.9,0,0,0.0,1,0,0,0.3673
BUSINESS,Latvia,English,BACHELOR,HIGH_SCHOOL,0.0,4,5.8,6000,ON_CAMPUS,0,BUSINESS,Latvia,MASTER,4800,French,ON_CAMPUS,13.0,4,6.0,0,0.0,1200,0,-0.2,1,1,1.0,0,1,0,0.006450774688114856
ARTIFICIAL_INTELLIGENCE,ANY,French,MASTER,MASTER,12.8,4,6.0,5000,DISTANCE,1,DATA_SCIENCE,France,MASTER,6800,German,ON_CAMPUS,12.0,4,6.0,1,0.8,-1800,0,0.0,1,0,0.7,0,0,1,0.013741833091255831
EDUCATION,ANY,English,DIPLOMA,HIGH_SCHOOL,0.0,3,5.3,5000,ON_CAMPUS,0,ARCHITECTURE,Poland,MASTER,5900,English,ON_CAMPUS,10.0,5,5.0,0,0.0,-900,-2,0.3,1,0,0.0,0,1,0,0.122785784440492
MARKETING,Italy,English,MASTER,BACHELOR,16.1,4,5.7,7000,BLENDED,0,MEDICINE,Germany,PHD,7800,German,ON_CAMPUS,15.0,4,5.5,0,1.1,-800,0,0.2,0,0,0.0,0,0,0,0.0
DATA_SCIENCE,Netherlands,English,MASTER,HIGH_SCHOOL,0.0,4,5.8,7000,ON_CAMPUS,0,ARTIFICIAL_INTELLIGENCE,Poland,MBA,8300,English,ON_CAMPUS,11.0,4,5.0,0,0.0,-1300,0,0.8,0,0,0.7,0,1,0,0.05263145027953292
PSYCHOLOGY,Netherlands,English,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,4,6.1,7000,BLENDED,0,DATA_SCIENCE,Turkey,MASTER,7500,English,ON_CAMPUS,11.0,4,5.0,1,0.0,-500,0,1.1,0,0,0.0,0,0,0,0.029770783899491726
ENGINEERING,ANY,German,BACHELOR,HIGH_SCHOOL,0.0,2,4.2,4000,ON_CAMPUS,1,EDUCATION,Poland,MASTER,6600,French,DISTANCE,12.0,4,5.5,1,0.0,-2600,-2,-1.3,1,0,0.0,0,0,1,0.04929709793049777
FINANCE,Spain,German,MASTER,PHD,19.0,5,6.9,10000,BLENDED,1,ENGINEERING,Italy,BACHELOR,7800,English,BLENDED,0.0,4,6.0,0,0.0,2200,1,0.9,0,0,0.0,0,1,0,0.06075885735685711
ARTS,Latvia,ANY,BACHELOR,MASTER,14.4,5,7.1,8000,ON_CAMPUS,0,OTHER,France,DIPLOMA,16100,English,BLENDED,0.0,3,6.0,1,0.0,-8100,2,1.1,0,0,0.0,1,0,0,0.4122
FINANCE,France,English,PHD,BACHELOR,8.4,5,7.1,7000,ON_CAMPUS,0,DESIGN,Netherlands,MBA,5200,French,ON_CAMPUS,13.0,3,5.0,0,-4.6,1800,2,2.1,0,0,0.0,1,1,0,0.5183
LAW,ANY,English,BACHELOR,MASTER,9.9,3,5.4,6000,ON_CAMPUS,0,OTHER,Netherlands,BACHELOR,4100,English,ON_CAMPUS,0.0,4,5.5,0,0.0,1900,-1,-0.1,1,0,0.0,0,1,0,0.051191414651589044
HOSPITALITY,Latvia,English,MASTER_OF_ARTS,HIGH_SCHOOL,0.0,4,5.6,7000,ON_CAMPUS,0,OTHER,Turkey,MASTER,6800,German,BLENDED,13.0,4,5.5,0,0.0,200,0,0.1,0,0,0.0,0,0,0,0.08711542400867028
DATA_SCIENCE,Germany,French,BACHELOR,MASTER,12.4,3,4.7,5000,ON_CAMPUS,0,COMMUNICATION,Netherlands,MASTER,9700,English,ON_CAMPUS,12.0,3,5.0,1,0.4,-4700,0,-0.3,0,0,0.0,0,1,0,0.08064874293199845
ARCHITECTURE,Latvia,English,DIPLOMA,MASTER,12.2,4,6.2,5000,BLENDED,1,ARTIFICIAL_INTELLIGENCE,Latvia,MBA,9800,German,DISTANCE,10.0,4,7.0,0,2.2,-4800,0,-0.8,1,0,0.0,1,0,0,0.503
ARCHITECTURE,Latvia,English,PHD,BACHELOR,8.0,5,6.9,4000,ON_CAMPUS,1,ARTIFICIAL_INTELLIGENCE,Netherlands,BACHELOR,5200,English,BLENDED,0.0,4,5.5,0,0.0,-1200,1,1.4,0,0,0.0,0,0,0,0.06867594031811582
HOSPITALITY,Netherlands,ANY,MASTER,BACHELOR,9.6,2,4.1,6000,DISTANCE,1,PSYCHOLOGY,Netherlands,BACHELOR,5700,German,ON_CAMPUS,0.0,3,5.5,0,0.0,300,-1,-1.4,1,0,0.0,0,0,0,0.028899306207889237
COMMUNICATION,ANY,ANY,BACHELOR,BACHELOR,11.1,3,4.8,6000,DISTANCE,0,COMPUTER_SCIENCE,Germany,BACHELOR,4400,English,ON_CAMPUS,0.0,4,6.0,0,0.0,1600,-1,-1.2,1,0,0.0,0,0,0,0.025666780092535996
DATA_SCIENCE,Turkey,English,BACHELOR,HIGH_SCHOOL,0.0,3,4.8,5000,ON_CAMPUS,0,ENGINEERING,Turkey,BACHELOR,6500,French,ON_CAMPUS,0.0,4,6.0,0,0.0,-1500,-1,-1.2,1,0,0.4,1,1,0,0.5662
